"","...1","var_name","label","hemi","side","region","roi"
"1",1,"banksstslh","lh_bankssts","left","lateral","bankssts","0002"
"2",2,"cdacatelh","lh_caudalanteriorcingulate","left","medial","caudal anterior cingulate","0003"
"3",3,"cdmdfrlh","lh_caudalmiddlefrontal","left","lateral","caudal middle frontal","0004"
"4",4,"cuneuslh","lh_cuneus","left","medial","cuneus","0006"
"5",5,"ehinallh","lh_entorhinal","left","medial","entorhinal","0007"
"6",6,"fusiformlh","lh_fusiform","left","lateral","fusiform","0008"
"7",7,"ifpllh","lh_inferiorparietal","left","lateral","inferior parietal","0009"
"8",8,"iftmlh","lh_inferiortemporal","left","lateral","inferior temporal","0010"
"9",9,"ihcatelh","lh_isthmuscingulate","left","medial","isthmus cingulate","0011"
"10",10,"locclh","lh_lateraloccipital","left","lateral","lateral occipital","0012"
"11",11,"lobfrlh","lh_lateralorbitofrontal","left","lateral","lateral orbitofrontal","0013"
"12",12,"linguallh","lh_lingual","left","medial","lingual","0014"
"13",13,"mobfrlh","lh_medialorbitofrontal","left","medial","medial orbitofrontal","0015"
"14",14,"mdtmlh","lh_middletemporal","left","lateral","middle temporal","0016"
"15",15,"parahpallh","lh_parahippocampal","left","medial","parahippocampal","0017"
"16",16,"paracnlh","lh_paracentral","left","medial","paracentral","0018"
"17",17,"parsopclh","lh_parsopercularis","left","lateral","pars opercularis","0019"
"18",18,"parsobislh","lh_parsorbitalis","left","lateral","pars orbitalis","0020"
"19",19,"parstgrislh","lh_parstriangularis","left","lateral","pars triangularis","0021"
"20",20,"pericclh","lh_pericalcarine","left","medial","pericalcarine","0022"
"21",21,"postcnlh","lh_postcentral","left","lateral","postcentral","0023"
"22",22,"ptcatelh","lh_posteriorcingulate","left","medial","posterior cingulate","0024"
"23",23,"precnlh","lh_precentral","left","lateral","precentral","0025"
"24",24,"pclh","lh_precuneus","left","medial","precuneus","0026"
"25",25,"rracatelh","lh_rostralanteriorcingulate","left","medial","rostral anterior cingulate","0027"
"26",26,"rrmdfrlh","lh_rostralmiddlefrontal","left","lateral","rostral middle frontal","0028"
"27",27,"sufrlh","lh_superiorfrontal","left","lateral","superior frontal","0029"
"28",28,"supllh","lh_superiorparietal","left","lateral","superior parietal","0030"
"29",29,"sutmlh","lh_superiortemporal","left","lateral","superior temporal","0031"
"30",30,"smlh","lh_supramarginal","left","lateral","supramarginal","0032"
"31",31,"frpolelh","lh_frontalpole","left","medial","frontal pole","0033"
"32",32,"tmpolelh","lh_temporalpole","left","lateral","temporal pole","0034"
"33",33,"trvtmlh","lh_transversetemporal","left","lateral","transverse temporal","0035"
"34",34,"insulalh","lh_insula","left","lateral","insula","0036"
"35",35,"banksstsrh","rh_bankssts","right","lateral","bankssts","0002"
"36",36,"cdacaterh","rh_caudalanteriorcingulate","right","medial","caudal anterior cingulate","0003"
"37",37,"cdmdfrrh","rh_caudalmiddlefrontal","right","lateral","caudal middle frontal","0004"
"38",38,"cuneusrh","rh_cuneus","right","medial","cuneus","0006"
"39",39,"ehinalrh","rh_entorhinal","right","medial","entorhinal","0007"
"40",40,"fusiformrh","rh_fusiform","right","medial","fusiform","0008"
"41",41,"ifplrh","rh_inferiorparietal","right","lateral","inferior parietal","0009"
"42",42,"iftmrh","rh_inferiortemporal","right","lateral","inferior temporal","0010"
"43",43,"ihcaterh","rh_isthmuscingulate","right","medial","isthmus cingulate","0011"
"44",44,"loccrh","rh_lateraloccipital","right","medial","lateral occipital","0012"
"45",45,"lobfrrh","rh_lateralorbitofrontal","right","medial","lateral orbitofrontal","0013"
"46",46,"lingualrh","rh_lingual","right","medial","lingual","0014"
"47",47,"mobfrrh","rh_medialorbitofrontal","right","medial","medial orbitofrontal","0015"
"48",48,"mdtmrh","rh_middletemporal","right","lateral","middle temporal","0016"
"49",49,"parahpalrh","rh_parahippocampal","right","medial","parahippocampal","0017"
"50",50,"paracnrh","rh_paracentral","right","medial","paracentral","0018"
"51",51,"parsopcrh","rh_parsopercularis","right","lateral","pars opercularis","0019"
"52",52,"parsobisrh","rh_parsorbitalis","right","lateral","pars orbitalis","0020"
"53",53,"parstgrisrh","rh_parstriangularis","right","lateral","pars triangularis","0021"
"54",54,"periccrh","rh_pericalcarine","right","medial","pericalcarine","0022"
"55",55,"postcnrh","rh_postcentral","right","medial","postcentral","0023"
"56",56,"ptcaterh","rh_posteriorcingulate","right","medial","posterior cingulate","0024"
"57",57,"precnrh","rh_precentral","right","medial","precentral","0025"
"58",58,"pcrh","rh_precuneus","right","medial","precuneus","0026"
"59",59,"rracaterh","rh_rostralanteriorcingulate","right","medial","rostral anterior cingulate","0027"
"60",60,"rrmdfrrh","rh_rostralmiddlefrontal","right","lateral","rostral middle frontal","0028"
"61",61,"sufrrh","rh_superiorfrontal","right","medial","superior frontal","0029"
